Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,BusInvolvement,"RigidTruck 
Involvement","Articulated Truck 
Involvement ",SpeedLimit,RoadUser,Gender,Age
2.2016E+12,VIC,26-Jan-16,26,January,2016,Tuesday,12:00,12,0,Single vehicle,No,No,No,100,Passenger,Male,17
2.2016E+12,VIC,26-Jan-16,26,January,2016,Tuesday,22:40,22,40,Single vehicle,No,No,No,100,Passenger,Female,28
3.2016E+12,QLD,26-Jan-16,26,January,2016,Tuesday,18:00,18,0,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,24
1.2016E+12,NSW,27-Jan-16,27,January,2016,Wednesday,4:25,4,25,Multiple vehicle,No,No,Yes,80,Driver,Male,40
2.2016E+12,VIC,27-Jan-16,27,January,2016,Wednesday,1:30,1,30,Multiple vehicle,No,No,No,100,Passenger,Female,18
2.2016E+12,VIC,27-Jan-16,27,January,2016,Wednesday,1:30,1,30,Multiple vehicle,No,No,No,100,Driver,Male,19
2.2016E+12,VIC,27-Jan-16,27,January,2016,Wednesday,12:05,12,5,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,27
2.2016E+12,VIC,27-Jan-16,27,January,2016,Wednesday,13:10,13,10,Multiple vehicle,No,No,No,100,Passenger,Female,57
2.2016E+12,VIC,27-Jan-16,27,January,2016,Wednesday,13:10,13,10,Multiple vehicle,No,No,No,100,Driver,Male,64
3.2016E+12,QLD,27-Jan-16,27,January,2016,Wednesday,14:00,14,0,Single vehicle,No,Yes,No,80,Driver,Male,28
5.2016E+12,WA,27-Jan-16,27,January,2016,Wednesday,5:00,5,0,Single vehicle,No,No,No,110,Driver,Male,42
5.2016E+12,WA,27-Jan-16,27,January,2016,Wednesday,8:01,8,1,Single vehicle,No,No,No,110,Passenger,Male,27
1.2016E+12,NSW,28-Jan-16,28,January,2016,Thursday,11:25,11,25,Pedestrian,No,No,No,60,Pedestrian,Female,90
2.2016E+12,VIC,28-Jan-16,28,January,2016,Thursday,14:48,14,48,Multiple vehicle,No,No,No,90,Driver,Female,22
2.2016E+12,VIC,28-Jan-16,28,January,2016,Thursday,14:35,14,35,Multiple vehicle,No,No,Yes,100,Motorcycle rider,Male,41
6.2016E+12,TAS,28-Jan-16,28,January,2016,Thursday,12:59,12,59,Multiple vehicle,No,Yes,No,100,Driver,Male,74
7.2016E+12,NT,28-Jan-16,28,January,2016,Thursday,20:35,20,35,Multiple vehicle,No,No,No,110,Passenger,Male,24
1.2016E+12,NSW,29-Jan-16,29,January,2016,Friday,20:52,20,52,Pedestrian,No,No,No,60,Pedestrian,Female,21
2.2016E+12,VIC,29-Jan-16,29,January,2016,Friday,11:20,11,20,Single vehicle,No,No,No,100,Driver,Male,54
3.2016E+12,QLD,29-Jan-16,29,January,2016,Friday,14:00,14,0,Single vehicle,No,No,No,100,Motorcycle rider,Female,58
5.2016E+12,WA,29-Jan-16,29,January,2016,Friday,21:19,21,19,Single vehicle,No,No,No,80,Driver,Male,28
5.2016E+12,WA,29-Jan-16,29,January,2016,Friday,15:24,15,24,Single vehicle,No,No,No,110,Driver,Male,19
3.2016E+12,QLD,30-Jan-16,30,January,2016,Saturday,1:00,1,0,Single vehicle,No,No,No,100,Driver,Male,41
3.2016E+12,QLD,30-Jan-16,30,January,2016,Saturday,22:00,22,0,Single vehicle,No,No,No,80,Passenger,Male,68
4.2016E+12,SA,31-Jan-16,31,January,2016,Sunday,3:14,3,14,Multiple vehicle,No,No,No,100,Driver,Male,27
3.2016E+12,QLD,1-Feb-16,1,February,2016,Monday,15:00,15,0,Pedestrian,No,No,No,60,Pedestrian,Female,83
2.2016E+12,VIC,2-Feb-16,2,February,2016,Tuesday,15:44,15,44,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,18
2.2016E+12,VIC,2-Feb-16,2,February,2016,Tuesday,15:55,15,55,Multiple vehicle,No,No,No,-9,Passenger,Female,81
4.2016E+12,SA,2-Feb-16,2,February,2016,Tuesday,20:05,20,5,Pedestrian,No,No,No,60,Pedestrian,Male,27
1.2016E+12,NSW,3-Feb-16,3,February,2016,Wednesday,12:45,12,45,Single vehicle,No,No,No,100,Driver,Male,73
1.2016E+12,NSW,3-Feb-16,3,February,2016,Wednesday,16:25,16,25,Pedestrian,Yes,No,No,50,Pedestrian,Male,41
1.2016E+12,NSW,3-Feb-16,3,February,2016,Wednesday,7:30,7,30,Pedestrian,No,Yes,No,60,Pedestrian,Male,46
4.2016E+12,SA,3-Feb-16,3,February,2016,Wednesday,16:30,16,30,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,44
5.2016E+12,WA,3-Feb-16,3,February,2016,Wednesday,21:00,21,0,Single vehicle,No,No,No,110,Driver,Male,38
5.2016E+12,WA,3-Feb-16,3,February,2016,Wednesday,6:39,6,39,Multiple vehicle,No,No,Yes,110,Driver,Female,31
2.2016E+12,VIC,4-Feb-16,4,February,2016,Thursday,15:05,15,5,Multiple vehicle,No,No,No,70,Motorcycle rider,Male,45
3.2016E+12,QLD,4-Feb-16,4,February,2016,Thursday,5:00,5,0,Multiple vehicle,No,No,Yes,100,Driver,Female,29
4.2016E+12,SA,4-Feb-16,4,February,2016,Thursday,7:23,7,23,Multiple vehicle,Yes,No,No,60,Motorcycle rider,Female,30
1.2016E+12,NSW,6-Feb-16,6,February,2016,Saturday,17:35,17,35,Single vehicle,No,No,No,80,Driver,Male,67
1.2016E+12,NSW,6-Feb-16,6,February,2016,Saturday,18:00,18,0,Single vehicle,No,No,No,100,Driver,Male,48
2.2016E+12,VIC,6-Feb-16,6,February,2016,Saturday,3:15,3,15,Single vehicle,No,No,No,100,Motorcycle rider,Male,38
4.2016E+12,SA,6-Feb-16,6,February,2016,Saturday,7:56,7,56,Single vehicle,No,No,No,50,Bicyclist (includes pillion passengers),Male,88
5.2016E+12,WA,6-Feb-16,6,February,2016,Saturday,21:30,21,30,Single vehicle,No,No,No,110,Driver,Female,45
5.2016E+12,WA,6-Feb-16,6,February,2016,Saturday,22:45,22,45,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,34
1.2016E+12,NSW,7-Feb-16,7,February,2016,Sunday,2:30,2,30,Single vehicle,No,No,No,60,Driver,Male,76
1.2016E+12,NSW,7-Feb-16,7,February,2016,Sunday,14:40,14,40,Multiple vehicle,No,No,No,100,Driver,Male,75
1.2016E+12,NSW,7-Feb-16,7,February,2016,Sunday,15:05,15,5,Pedestrian,No,No,No,60,Pedestrian,Male,33
5.2016E+12,WA,7-Feb-16,7,February,2016,Sunday,12:26,12,26,Multiple vehicle,No,No,No,60,Passenger,Female,5
